"","Date","Stock","Values"
"684",1997-12-31,16678,0.062351
"685",1997-01-31,17005,0.043476
"686",1997-02-28,17005,0.065464
"687",1997-03-31,17005,-0.007003
"688",1997-04-30,17005,0.073966
"689",1997-05-30,17005,-0.045202
"690",1997-06-30,17005,0.072415
"691",1997-07-31,17005,0.105163
"692",1997-08-29,17005,-0.010708
"693",1997-09-30,17005,0.004469
"694",1997-10-31,17005,0.075756
"695",1997-11-28,17005,0.080708
"696",1997-12-31,17005,-0.041454
"697",1997-01-31,17137,-0.081031
"698",1997-02-28,17137,0.098862
"699",1997-03-31,17137,-0.034603
"700",1997-04-30,17137,-0.061592
"701",1997-05-30,17137,0.10684
"702",1997-06-30,17137,0.130927
"703",1997-07-31,17137,0.055303
"704",1997-08-29,17137,-0.080767
"705",1997-09-30,17137,0.031964
"706",1997-10-31,17137,-0.021744
"707",1997-11-28,17137,0.05235
"708",1997-12-31,17137,0.016477
"709",1997-01-31,17144,0.068192
"710",1997-02-28,17144,-0.0408
"711",1997-03-31,17144,-0.052193
"712",1997-04-30,17144,0.002219
"713",1997-05-30,17144,0.015261
"714",1997-06-30,17144,0.025944
"715",1997-07-31,17144,0.065259
"716",1997-08-29,17144,-0.074624
"717",1997-09-30,17144,0.068557
"718",1997-10-31,17144,-0.039123
"719",1997-11-28,17144,0.117312
"720",1997-12-31,17144,-0.036895
"721",1997-01-31,17478,0.074091
"722",1997-02-28,17478,0.04605
"723",1997-03-31,17478,-0.018758
"724",1997-04-30,17478,-0.00919
"725",1997-05-30,17478,0.078343
"726",1997-06-30,17478,0.070501
"727",1997-07-31,17478,0.148729
"728",1997-08-29,17478,-0.094644
"729",1997-09-30,17478,0.099576
"730",1997-10-31,17478,-0.038364
"731",1997-11-28,17478,0.048452
"732",1997-12-31,17478,0.076479
"733",1997-01-31,17523,0.027758
"734",1997-02-28,17523,0.02735
"735",1997-03-31,17523,-0.0043
"736",1997-04-30,17523,0.010852
"737",1997-05-30,17523,0.039876
"738",1997-06-30,17523,0.353443
"739",1997-07-31,17523,-0.035879
"740",1997-08-29,17523,0.321987
"741",1997-09-30,17523,-0.0044
"742",1997-10-31,17523,-0.200921
"743",1997-11-28,17523,-0.167165
"744",1997-12-31,17523,-0.010898
"745",1997-01-31,17726,0.057569
"746",1997-02-28,17726,-0.038683
"747",1997-03-31,17726,-0.07412
"748",1997-04-30,17726,0.061075
"749",1997-05-30,17726,0.059027
"750",1997-06-30,17726,-0.086318
"751",1997-07-31,17726,-0.058101
"752",1997-08-29,17726,0.007025
"753",1997-09-30,17726,-0.097766
"754",1997-10-31,17726,-0.021815
"755",1997-11-28,17726,0.079318
